date;holidayname;subcountry
2092-01-01;Neujahr;BY
2092-03-28;Karfreitag;BY
2092-03-31;Ostermontag;BY
2092-05-01;Erster Mai;BY
2092-05-08;Christi Himmelfahrt;BY
2092-05-19;Pfingstmontag;BY
2092-10-03;Tag der Deutschen Einheit;BY
2092-12-25;Erster Weihnachtstag;BY
2092-12-26;Zweiter Weihnachtstag;BY
2092-01-06;Heilige Drei Könige;BY
2092-05-29;Fronleichnam;BY
2092-11-01;Allerheiligen;BY
2093-01-01;Neujahr;BY
2093-04-10;Karfreitag;BY
2093-04-13;Ostermontag;BY
2093-05-01;Erster Mai;BY
2093-05-21;Christi Himmelfahrt;BY
2093-06-01;Pfingstmontag;BY
2093-10-03;Tag der Deutschen Einheit;BY
2093-12-25;Erster Weihnachtstag;BY
2093-12-26;Zweiter Weihnachtstag;BY
2093-01-06;Heilige Drei Könige;BY
2093-06-11;Fronleichnam;BY
2093-11-01;Allerheiligen;BY
2094-01-01;Neujahr;BY
2094-04-02;Karfreitag;BY
2094-04-05;Ostermontag;BY
2094-05-01;Erster Mai;BY
2094-05-13;Christi Himmelfahrt;BY
2094-05-24;Pfingstmontag;BY
2094-10-03;Tag der Deutschen Einheit;BY
2094-12-25;Erster Weihnachtstag;BY
2094-12-26;Zweiter Weihnachtstag;BY
2094-01-06;Heilige Drei Könige;BY
2094-06-03;Fronleichnam;BY
2094-11-01;Allerheiligen;BY
2095-01-01;Neujahr;BY
2095-04-22;Karfreitag;BY
2095-04-25;Ostermontag;BY
2095-05-01;Erster Mai;BY
2095-06-02;Christi Himmelfahrt;BY
2095-06-13;Pfingstmontag;BY
2095-10-03;Tag der Deutschen Einheit;BY
2095-12-25;Erster Weihnachtstag;BY
2095-12-26;Zweiter Weihnachtstag;BY
2095-01-06;Heilige Drei Könige;BY
2095-06-23;Fronleichnam;BY
2095-11-01;Allerheiligen;BY
2096-01-01;Neujahr;BY
2096-04-13;Karfreitag;BY
2096-04-16;Ostermontag;BY
